,Product,Price,Status
52,"Laptop Ultraportabil Lenovo ideapad S540-14IML cu procesor Intel Core i5-10210U pana la 4.20 GHz Comet Lake, 14"", Full HD, IPS, 12GB, 1TB SSD, Intel UHD Graphics, Free DOS, Copper",3.29999 Lei,în stoc
53,"Laptop HP 250 G7 cu procesor Intel® Core™ i3- 7020U 2.30 GHz, 15.6"", HD, 4GB, 1TB HDD, DVD-RW, GeForce MX110 2GB, Free DOS, Negru",1.39999 Lei,în stoc
54,"Laptop HP Pavilion 15-cs3003nq cu procesor Intel® Core™ i5-1035G1 pana la 3.60GHz Ice Lake, 15.6"", Full HD, 16GB, 512GB SSD, Nvidia GeForce MX130 2GB, Free DOS, Mineral Silver",2.99999 Lei,în stoc
55,"Laptop ASUS X509FA-EJ252 cu procesor Intel Core i3-8145U pana la 3.90 GHz, 15.6"", Full HD, 4GB, 256GB SSD, Intel UHD Graphics 620, Endless OS, Transparent Silver",1.54999 Lei,în stoc
56,"Laptop ultraportabil nJoy Aerial cu procesor Intel® Celeron® N3350 pana la 2.40 GHz, Apollo Lake, 13.3"", Full HD, IPS, 4GB, 32GB eMMC, support SSD M.2, Intel® HD Graphics, Microsoft Windows 10, Metal Black",83990 Lei,în stoc
57,"Laptop Gaming Asus ROG Strix G531GU cu procesor Intel® Core™ i7-9750H pana la 4.5 GHz, 15.6"", Full HD, 8GB, 256Gb SSD M.2, NVIDIA GeForce GTX 1660Ti 6GB, Free DOS, Black",4.99999 Lei,în stoc
58,"Laptop Asus X509FJ cu procesor Intel® Core™ i7-8565U pana la 4.6 GHz, 15.6"", Full HD, 8GB, 256GB SSD M.2, NVIDIA GeForce MX230 2GB, Free DOS, Slate Gray",2.84999 Lei,ultimele 3 produse
59,"Laptop HP 15-da1012nq cu procesor Intel® Core™ i3-8145U pana la 3.90 GHz, 15.6"", Full HD, 4GB, 256GB SSD, Intel UHD Graphics, Windows 10 Home, jet Black",1.89999 Lei,în stoc
60,"Laptop Dell Inspiron 3584 cu procesor Intel® Core™ i3-7020U 2.30 GHz Kaby Lake, 15.6"", Full HD, 4GB, 256GB SSD, Intel HD Graphics, Ubuntu, Black",1.39999 Lei,în stoc
61,"Laptop Apple MacBook Pro 16"" Touch Bar, procesor Intel® Core™ i9 2.30 GHz, 16GB, 1TB SSD, Radeon Pro 5500M 4GB, Silver, INT KB",15.84999 Lei,ultimele 2 produse
62,"Laptop ASUS X540UB cu procesor Intel® Core™ i3-7020U 2.30 GHz, Kaby Lake, 15.6"", Full HD, 4GB, 256GB SSD, NVIDIA GeForce MX110 2GB, Endless OS, Chocolate Black",1.79999 Lei,în stoc
63,"Laptop Gaming Lenovo Ideapad L340-15IRH cu procesor Intel® Core i7-9750H pana la 4.50 GHz, 15.6"", Full HD, 8GB, 512GB SSD M.2, NVIDIA GeForce GTX 1050 3GB GDDR5, Free DOS, Black",3.39999 Lei,în stoc
64,"Laptop ASUS X543MA cu procesor Intel® Celeron™ N4000 pana la 2.60 GHz Gemini Lake, 15.6"", HD, 4GB, 500GB HDD, Intel® HD Graphics 600, Free DOS, Star Gray",89999 Lei,în stoc
65,"Laptop Dell Inspiron 3582 cu procesor Intel® Pentium™ N5000 pana la 2.70 GHz Gemini Lake, 15.6"", HD, 4GB, 1TB HDD, Intel UHD Graphics, Ubuntu, Black",1.09999 Lei,în stoc
66,"Laptop ASUS VivoBook X512FA cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz Whiskey Lake, 15.6"", Full HD, 8GB, 1TB HDD, Intel UHD Graphics 620, Free DOS, Transparent Silver",2.49999 Lei,în stoc
67,"Laptop ultraportabil ASUS VivoBook S15 S531FA cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, 15.6"", Full HD, 8GB, 256GB SSD, Intel UHD Graphics 620, Free DOS, Light Grey",2.59999 Lei,în stoc
68,"Laptop Dell Inspiron 3582 cu procesor Intel® Pentium® Silver N5000 pana la 2.70 GHz, 15.6"", Full HD, 4GB, 128GB SSD, Intel® UHD Graphics 605, Windows 10, Black",1.39999 Lei,în stoc
69,"Laptop Apple MacBook Air 13 ecran Retina, procesor Intel® Core™ i5 1.6GHz, 8GB, 128GB SSD, Intel UHD Graphics 617, Space Grey, INT KB",5.59999 Lei,în stoc
70,"Laptop Gaming Lenovo Legion Y540-15IRH cu procesor Intel® Core i5-9300H pana la 4.10 GHz, 15.6"", Full HD, IPS, 8GB, 512GB SSD M.2, NVIDIA GeForce GTX 1660 Ti 6GB GDDR6, Free DOS, Black",4.39999 Lei,în stoc
